Cuisine,Ingredient,Count
Southern,salt,30
Southern,all-purpose flour,24
Southern,butter,19
Southern,water,13
Southern,milk,11
Southern,garlic,11
Southern,onion,10
Southern,eggs,9
Southern,cayenne pepper,8
Southern,buttermilk,7
Puerto,salt,25
Puerto,garlic,19
Puerto,olive oil,18
Puerto,water,17
Puerto,onion,8
Puerto,coconut milk,7
Puerto,evaporated milk,7
Puerto,vegetable oil,7
Puerto,green bell pepper,7
Puerto,butter,6
Colombian,salt,5
Colombian,onion,2
Colombian,garlic,2
Colombian,eggs,2
Colombian,plum tomato,1
Colombian,lime,1
Colombian,olive oil,1
Colombian,apple cider vinegar,1
Colombian,jalapeno pepper,1
Colombian,water,1
Dutch,all-purpose flour,15
Dutch,butter,13
Dutch,salt,8
Dutch,egg,7
Dutch,baking powder,6
Dutch,water,6
Dutch,eggs,6
Dutch,milk,4
Dutch,shortening,2
Dutch,paprika,2
Tex-Mex,salt,11
Tex-Mex,sour cream,11
Tex-Mex,olive oil,11
Tex-Mex,garlic,11
Tex-Mex,water,10
Tex-Mex,onion,10
Tex-Mex,salsa,9
Tex-Mex,cooking spray,7
Tex-Mex,red bell pepper,7
Tex-Mex,jalapeno pepper,7
Vietnamese,garlic,29
Vietnamese,water,21
Vietnamese,salt,13
Vietnamese,vegetable oil,13
Vietnamese,lime,9
Vietnamese,soy sauce,9
Vietnamese,onion,9
Vietnamese,carrot,7
Vietnamese,olive oil,6
Vietnamese,sesame oil,5
Thai,garlic,24
Thai,coconut milk,22
Thai,water,18
Thai,vegetable oil,17
Thai,soy sauce,16
Thai,red bell pepper,13
Thai,onion,12
Thai,salt,11
Thai,brown sugar,11
Thai,curry powder,7
Canadian,salt,25
Canadian,butter,20
Canadian,all-purpose flour,20
Canadian,water,15
Canadian,milk,10
Canadian,egg,9
Canadian,eggs,9
Canadian,onion,8
Canadian,brown sugar,8
Canadian,garlic,7
Israeli,salt,9
Israeli,olive oil,8
Israeli,water,8
Israeli,garlic,6
Israeli,eggs,6
Israeli,onion,5
Israeli,red bell pepper,4
Israeli,all-purpose flour,4
Israeli,baking powder,3
Israeli,vegetable oil,3
Cuban,garlic,29
Cuban,olive oil,24
Cuban,salt,21
Cuban,onion,20
Cuban,water,14
Cuban,green bell pepper,13
Cuban,bay leaves,11
Cuban,vegetable oil,8
Cuban,lime,8
Cuban,tomato paste,6
Filipino,garlic,26
Filipino,onion,25
Filipino,water,25
Filipino,vegetable oil,20
Filipino,soy sauce,16
Filipino,salt,15
Filipino,olive oil,10
Filipino,coconut milk,6
Filipino,bay leaves,6
Filipino,brown sugar,6
Swedish,all-purpose flour,27
Swedish,salt,26
Swedish,butter,25
Swedish,milk,18
Swedish,eggs,14
Swedish,water,12
Swedish,egg,9
Swedish,worcestershire sauce,5
Swedish,sugar,5
Swedish,sour cream,4
Greek,olive oil,32
Greek,garlic,21
Greek,salt,16
Greek,water,13
Greek,lemon juice,11
Greek,lemon,11
Greek,butter,10
Greek,all-purpose flour,10
Greek,onion,10
Greek,eggs,8
Mexican,salt,20
Mexican,onion,19
Mexican,garlic,18
Mexican,olive oil,14
Mexican,vegetable oil,12
Mexican,sour cream,11
Mexican,water,9
Mexican,lime,8
Mexican,avocado,6
Mexican,red bell pepper,6
Persian,salt,19
Persian,water,13
Persian,garlic,12
Persian,vegetable oil,11
Persian,olive oil,11
Persian,onion,10
